0000001 002  -----   -----                    
0003623 070  CC      and                      Z5 
0003623 080  AT      the                      Z5 
0003623 090  NN1     rhetoric                 Q2.1 Q2.2 Q3 
0003623 100  IO      of                       Z5 
0003623 110  NN1     assimilation             A6.1+/A2.1 A9+ 
0003625 010  AT      the                      Z5 
0003625 020  MC1     one                      N1 T3 T1.2 
0003625 030  CC      and                      Z5 
0003625 040  AT      the                      Z5 
0003625 050  DA2     many                     N5+ 
0003625 060  NN1     america                  Z2 
0003625 070  NN1     struggle                 X8+ A12- E3- 
0003625 080  IF      for                      Z5 
0003625 090  AT      the                      Z5 
0003625 100  JJ      common                   A6.2+ N5++ S5+ O4.2- 
0003625 110  JJ      good                     A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+ 
0003627 010  AT      the                      Z5 
0003627 020  JJ      other                    A6.1- 
0003627 030  NN2     americans                Z2/S2mf 
0003627 040  RRQ     how                      Z5 A13.3 
0003627 050  NN2     immigrants               M1/M7/S2mf 
0003627 060  VV0     renew                    T2+/A2.1 
0003627 070  APPGE   our                      Z8 
0003627 080  NN1     country                  G1.1c W3 F4/M7 K2 
0003627 090  APPGE   our                      Z8 
0003627 100  NN1     economy                  I2.1 I1.3- 
0003627 110  CC      and                      Z5 
0003627 120  APPGE   our                      Z8 
0003627 130  NN2     values                   A11.1+ I1.3 G2.2 A4.1 N1 
0003629 010  NN2     immigrants               M1/M7/S2mf 
0003629 020  CC      and                      Z5 
0003629 030  JJ      cultural                 C1 S1.1.1 S5+ 
0003629 040  NN1     adaptation               A2.1+ 
0003629 050  II      in                       Z5 
0003629 060  AT      the                      Z5 
0003629 070  NN1     american                 Z2/S2mf 
0003629 080  NN1     workplace                I3.1/M7 
0003629 090  AT1     a                        Z5 
0003629 100  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0003629 110  IO      of                       Z5 
0003629 120  NN1     muslim                   S9 
0003629 130  NN2     employees                I3.1/S2mf 
0003631 010  VV0     bint                     Z99 
0003631 020  NN1     arab                     Z2/S2mf 
0003631 030  NN1     arab                     Z2/S2mf 
0003631 040  CC      and                      Z5 
0003631 050  VV0     arab                     Z2 Z2/Q3 Z2/S2mf 
0003631 060  NN1     american                 Z2/S2mf 
0003631 070  NN2     women                    S2.1f 
0003631 080  II      in                       Z5 
0003631 090  AT      the                      Z5 
0003631 100  JJ      united                   Z2c[i609.2.1 S5+ 
0003631 110  NN2     states                   Z2c[i609.2.2 G1.1c O4.1 
0003633 010  II      on                       S5-[i610.3.1 Z5 
0003633 020  APPGE   my                       S5-[i610.3.2 Z8 Z8[i611.2.1 
0003633 030  DA      own                      S5-[i610.3.3 A9+ S5- Z8[i611.2.2 
0003633 040  JJ      korean                   Z2 Z2/Q3 
0003633 050  NN2     businesses               I2.1 A1.1.1 A5.1+++ 
0003633 060  CC      and                      Z5 
0003633 070  NN1     race                     S5+[i612.2.1 K5.1 S7.3+ S5+c 
0003633 080  NN2     relations                S5+[i612.2.2 A2.2 S1.1.1 S4 S3.2 
0003633 090  II      in                       Z5 
0003633 100  NN1     america                  Z2 
0003635 010  NN1     entrepreneurship         I2.1 
0003635 020  CC      and                      Z5 
0003635 030  NN1     religion                 S9 
0003635 040  NN1     korean                   Z2/S2mf Z2/Q3 
0003635 050  NN2     immigrants               M1/M7/S2mf 
0003635 060  II      in                       Z5 
0003635 070  NN1     houston                  Z2 
0003635 080  NN2     texas                    Z2 Z3c 
0003637 010  VV0@    polish                   B4 A5.1+/A2.1 
0003637 020  NN2     americans                Z2/S2mf 
0003637 030  AT1     an                       Z5 
0003637 040  JJ      ethnic                   S5+ 
0003637 050  NN1     community                S5+/Z6[i613.2.1 S5+c 
0003639 010  JJ      free                     S5+/Z6[i613.2.2 S6- A1.7- A1.5.1- I1.3- 
0003639 020  NN1     movement                 M1 S5+c K2 A2.1+ 
0003639 030  IO      of                       Z5 
0003639 040  NN2     persons                  S2mfc 
0003639 050  II      in                       Z5 
0003639 060  AT      the                      Z5 
0003639 070  JJ      european                 Z3[i614.2.1 Z2[i614.2.1 Z2 
0003639 080  NN1     union                    Z3[i614.2.2 Z2[i614.2.2 
0003641 010  NN1     nationality              G1.1c S5+c 
0003641 020  NN2     laws                     G2.1 S6+ 
0003641 030  II      in                       Z5 
0003641 040  AT      the                      Z5 
0003641 050  JJ      european                 Z3[i615.2.1 Z2[i615.2.1 Z2 
0003641 060  NN1     union                    Z3[i615.2.2 Z2[i615.2.2 
0003641 070  FW      le                       Z3c 
0003641 080  VV0     droit                    Z99 
0003641 090  FW      de                       Z5 
0003641 100  FW      la                       Z2 
0003641 110  JJ      nationalit               Z99 
0003641 120  FW      dans                     Z99 
0003641 130  MC%     l                        N1 T1.2 T3 T1.3 N3.2 
0003641 140  NN1     union                    I3.1/S5+c S5+c S4 Z3c 
0003641 150  NN1     europenne                Z99 
0003643 010  FW      les                      Z1m 
0003643 020  FW      chemins                  Z99 
0003643 030  FW      de                       Z5 
0003643 040  FW      la                       Z2 
0003643 050  NN1     migration                M1 
0003643 060  FW      en                       Z5 
0003643 070  NN1     belgique                 Z99 
0003643 080  NP1     et                       Z3 
0003643 090  NNU     au                       Z99 
0003643 100  NN1     quebec                   Z2 
0003643 110  NN1     xvii-xx                  Z99 
0003643 120  NN2     siecles                  Z99 
0003645 010  AT      the                      Z5 
0003645 020  NN1     indochinese              Z99 
0003645 030  II      in                       Z5 
0003645 040  NN1     australia                Z2 
0003645 050  MC      1975                     N1[i616.2.1 T3[i616.2.1 T1.2[i616.2.1 T1.3[i616.2.1 N3.3[i616.2.1 N3.5[i616.2.1 I1[i616.2.1 N1 T1.2 T3 T1.3 N3.2 
0003645 060  MC      1995                     N1[i616.2.2 T3[i616.2.2 T1.2[i616.2.2 T1.3[i616.2.2 N3.3[i616.2.2 N3.5[i616.2.2 I1[i616.2.2 N1 T1.2 T3 T1.3 N3.2 
0003645 070  II      from                     Z5 
0003645 080  JJ@     burnt                    O4.6 
0003645 090  NN2     boats                    M4 
0003645 100  II      to                       Z5 
0003645 110  NN2     barbecues                F1 
0003647 010  ND1     north                    Z2/S2mf[i617.2.1 M6 
0003647 020  NN2     koreans                  Z2/S2mf[i617.2.2 Z2/S2mf Z2/Q3 
0003647 030  II      in                       Z5 
0003647 040  NN1     japan                    Z2 
0003647 050  NN1     language                 Q3 Y2 
0003647 060  NN1     ideology                 X4.1 
0003647 070  CC      and                      Z5 
0003647 080  NN1     identity                 S2 A6.1+ Q1.2 
0003649 010  II      from                     Z5 
0003649 020  NN2     bolshoi                  Z99 
0003649 030  II      to                       Z5 
0003649 040  NN1     beer                     F2 
0003649 050  NN1     sheva                    Z99 
0003649 060  NN2     scientists               Y1/S2mf 
0003649 070  II      to                       Z5 
0003649 080  NN2     streetsweepers           Z99 
0003649 090  JJ      cultural                 C1 S1.1.1 S5+ 
0003649 100  NN1     dislocation              B2- A2.1+ M2 
0003649 110  II      among                    Z5 
0003649 120  NN1     soviet                   Z2 
0003649 130  NN2     immigrants               M1/M7/S2mf 
0003649 140  II      in                       Z5 
0003649 150  JJ      israel                   Z2 
0003651 010  JJ      palestinian              Z2 
0003651 020  NN1     identity                 S2 A6.1+ Q1.2 
0003651 030  AT      the                      Z5 
0003651 040  NN1     construction             H1 A1.1.1 O2 X2.1 
0003651 050  IO      of                       Z5 
0003651 060  JJ      modern                   T3- 
0003651 070  JJ      national                 M7/N5.1+ 
0003651 080  NN1     consciousness            B1 X1 
0003653 010  NN1     iranian                  Z2/S2mf Z2/Q3 
0003653 020  NN2     intellectuals            X2.1/S2mf 
0003653 030  CC      and                      Z5 
0003653 040  AT      the                      Z5 
0003653 050  ND1     west                     M6 
0003653 060  AT      the                      Z5 
0003653 070  JJ      tormented                Z99 
0003653 080  NN1     triumph                  X9.2+ 
0003653 090  IO      of                       Z5 
0003653 100  NN1     nativism                 Z99 
0003655 010  JJ      international            M7 
0003655 020  NN1     newsletter               Q4.2 
0003655 030  II      on                       Z5 
0003655 040  NN1     migration                M1 
0003657 010  NN1     imr                      Z99 
0003657 020  NN2     reviewers                Q4/S2mf 
0003659 010  JJ      unauthorized             S7.4- 
0003659 020  NN2     workers                  I3.1/S2mf 
0003659 030  CC      and                      Z5 
0003659 040  NN1     immigration              M1/M7 
0003659 050  NN1     reform                   A2.1+ 
0003659 060  DDQ     what                     Z8 Z5 
0003659 070  VM      can                      A7+ 
0003659 080  PPIS2   we                       Z8 
0003659 090  VVI     ascertain                X2.3+ 
0003659 100  II      from                     Z5 
0003659 110  NN2     employers                I3.1/S2mf 
0003661 010  VVG     explaining               Q2.2/A7+ A2.2 
0003661 020  JJ      immigrant                M1/M7/S2mf 
0003661 030  NN1     naturalization           G1.1/S5+ L3 
0003663 010  NN2     patterns                 X4.2 O4.1 O4.3 B5/Q1.2 
0003663 020  IO      of                       Z5 
0003663 030  JJ      economic                 I1.3- I2.1 
0003663 040  NN1     attainment               A9+ 
0003663 050  IO      of                       Z5 
0003663 060  JJ      foreign-born             Z99 
0003663 070  JJ      male                     S2.2 
0003663 080  NN2     workers                  I3.1/S2mf 
0003663 090  II      in                       Z5 
0003663 100  AT      the                      Z5 
0003663 110  JJ      united                   Z2c[i618.2.1 S5+ 
0003663 120  NN2     states                   Z2c[i618.2.2 G1.1c O4.1 
0003665 010  NN1     immigrant                M1/M7/S2mf 
0003665 020  CC      and                      Z5 
0003665 030  JJ      native                   M7 A6.2+ 
0003665 040  NN1     fertility                B1/S4 
0003665 050  II      during                   Z5 
0003665 060  AT      the                      Z5 
0003665 070  MC2     1980s                    T1.3 N1 T3 
0003665 080  NN1     adaptation               A2.1+ 
0003665 090  CC      and                      Z5 
0003665 100  NN2     expectations             X2.6+ 
0003665 110  IF      for                      Z5 
0003665 120  AT      the                      Z5 
0003665 130  JJ      future                   T1.1.3 
0003667 010  JJ      european                 Z2 
0003667 020  ND1     east-west                Z99 
0003667 030  NN1     migration                M1 
0003667 040  MC      1945                     N1[i619.2.1 T3[i619.2.1 T1.2[i619.2.1 T1.3[i619.2.1 N3.3[i619.2.1 N3.5[i619.2.1 I1[i619.2.1 N1 T1.2 T3 T1.3 N3.2 
0003667 050  MC      1992                     N1[i619.2.2 T3[i619.2.2 T1.2[i619.2.2 T1.3[i619.2.2 N3.3[i619.2.2 N3.5[i619.2.2 I1[i619.2.2 N1 T1.2 T3 T1.3 N3.2 
0003669 010  VDZ     does                     A1.1.1 G2.2- X9.2+ E3- G2.1% Z5 
0003669 020  NN1     drought                  W4 
0003669 030  NN1     increase                 N5+/A2.1 
0003669 040  NN1     migration                M1 
0003669 050  AT1     a                        Z5 
